timestamp,node_name,cell_name,l_traffic_activeuser_dl_avg,l_traffic_activeuser_dl_max,l_traffic_activeuser_ul_avg,l_traffic_activeuser_dl_max_1,l_traffic_user_avg,l_traffic_user_max,l_chmeas_prb_dl_avail,l_chmeas_prb_dl_used_avg,l_chmeas_prb_ul_avail,l_chmeas_prb_ul_used_avg,l_thrp_bits_dl,l_thrp_bits_ul,dl_prb_usage,ul_prb_usage,user_exp
2024-05-20 12:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,3.7737,15,2.124,14,20.8822,33,50,44.669,50,18.5727,30030765512,1798452520,89.338,37.1454,2.604079390963345
2024-05-20 12:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.914,8,0.6297,7,11.5289,21,50,23.6122,50,9.9376,10969841888,1117299896,47.2244,19.8752,3.8861303604753927
2024-05-20 12:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,2.3114,11,2.055,9,18.0458,34,50,40.6856,50,14.5937,21898224256,1230143536,81.3712,29.187400000000004,2.7688273100102334
2024-05-20 12:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,1.2007,10,0.6816,7,21.662,36,50,30.4013,50,13.3784,35150404768,1324885896,60.8026,26.7568,10.785516526363056
2024-05-20 12:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,1.029,9,0.6587,7,27.2486,41,50,23.475,50,13.2298,27113172312,1778887464,46.95,26.4596,10.84719428263318
2024-05-20 12:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,2.8744,18,1.6401,11,56.2044,77,50,36.9307,50,19.6413,50240504816,3613585552,73.8614,39.2826,6.8033086110001415
2024-05-20 12:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,0.9089,10,0.5355,7,15.9783,30,50,21.9501,50,10.119,19421064184,1034769304,43.9002,20.238,8.313009739892966
2024-05-20 12:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.6856,7,0.7076,7,12.9294,23,50,17.866,50,9.5752,18063126048,1265205720,35.732,19.1504,10.508622192948271
2024-05-20 13:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,0.8365,12,0.6671,8,23.4451,39,50,17.3405,50,14.4764,19350817840,1479146808,34.681,28.9528,11.075834024972847
2024-05-20 13:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,1.6879,14,0.9049,9,27.7591,41,50,30.0214,50,14.2017,34930559064,2110940872,60.0428,28.4034,7.611772740614392
2024-05-20 13:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,3.7454,17,2.0629,13,57.8091,79,50,40.9007,50,20.3254,50349206024,3648524736,81.8014,40.6508,5.395333884682584
2024-05-20 13:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,1.0699,10,0.5379,7,14.4568,29,50,25.2449,50,10.9915,22231492080,1140539848,50.48980000000001,21.983,7.682718810413522
2024-05-20 13:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,2.2059,12,1.689,10,17.0617,28,50,39.1142,50,14.4543,27252809176,1509307416,78.2284,28.9086,3.728581247308676
2024-05-20 13:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,3.17,15,1.8786,11,39.444,55,50,40.5993,50,20.042,36969595200,3250555520,81.1986,40.084,3.904912461988664
